id;fecha;estado;hora_entrada;hora_salida;observaciones
1;2022-12-12;NO_DEFINIDO;2022-12-12T04:49:32;2022-12-12T18:54:30;circuit
2;2022-12-12;OTRO;2022-12-12T15:41:52;2022-12-12T21:13:58;Madagascar Identidad
3;2022-12-12;PRESENTE;2022-12-12T17:45:06;2022-12-12T17:16:43;Hormigon Buckinghamshire HDD
4;2022-12-12;PRESENTE;2022-12-12T11:13:38;2022-12-12T10:41:34;Visionario interactive withdrawal
5;2022-12-11;PRESENTE;2022-12-12T14:16:38;2022-12-11T21:37:23;Ergonómico port
6;2022-12-12;AUSENTE;2022-12-12T10:01:09;2022-12-12T06:28:59;Metal Grupo Algodón
7;2022-12-12;AUSENTE;2022-12-12T16:14:24;2022-12-12T05:33:24;Avon
8;2022-12-12;AUSENTE;2022-12-12T08:32:13;2022-12-11T22:27:50;Georgia Galicia Rústico
9;2022-12-12;OTRO;2022-12-12T07:50:59;2022-12-12T09:05:05;Negro up
10;2022-12-12;OTRO;2022-12-12T14:06:50;2022-12-12T08:01:57;Cantabria Albania
