id;name;description;price;duration
1;Dollar Noruega Innovador;infomediaries Especialista;20270;10154
2;Acero la;cliente;93692;40789
3;Facilitador transition;Ejecutivo;84506;58659
4;deposit systems compressing;Andalucía;98567;46772
5;users;Explanada Bricolaje;32406;83933
6;Violeta Raton;Zambian Refinado;24527;88944
7;relationships;ROI;66493;10262
8;repurpose;Calidad auxiliary;60475;3037
9;open-source Informática;Polígono moderador Buckinghamshire;9975;34603
10;y;Producto monitorizar Avon;7065;33189
