id;nombre;descripcion;fecha_inicio;fecha_fin;observaciones
1;Cantabria Plaza Sección;microchip alarm Rústico;2022-12-12;2022-12-12;Normas
2;Zapatos;Letonia hack generate;2022-12-12;2022-12-12;Multi Pequeño
3;recontextualize Futuro;Algodón;2022-12-12;2022-12-12;Interfaz
4;Rupee;Manat Investment Toallas;2022-12-12;2022-12-12;Morado
5;Saudí Solomon;Ingeniero;2022-12-12;2022-12-12;Comunidad
6;capacitor;a Personal;2022-12-12;2022-12-12;cross-media Ladrillo
7;Conjunto Inteligente;HTTP;2022-12-12;2022-12-12;sensor Fantástico
8;Argelia Borders;Gorro Moda Teclado;2022-12-12;2022-12-12;Humano
9;Plástico;Heredado Investment calculate;2022-12-12;2022-12-12;equipos
10;wireless;generate;2022-12-12;2022-12-12;COM Lilangeni
