id;amount;issued_at;due_at
1;65218;2022-12-12T06:26:57;2022-12-11T23:44:39
2;13062;2022-12-12T14:09:46;2022-12-12T13:09:19
3;86430;2022-12-12T12:26:37;2022-12-12T16:33:22
4;45005;2022-12-12T08:58:48;2022-12-12T18:48:29
5;89234;2022-12-11T21:33:54;2022-12-12T06:47:02
6;22604;2022-12-12T15:09:12;2022-12-12T00:36:58
7;74773;2022-12-12T08:48:31;2022-12-12T12:55:00
8;64379;2022-12-12T01:22:59;2022-12-12T07:38:00
9;5148;2022-12-12T01:02:01;2022-12-12T02:11:01
10;94375;2022-12-12T06:10:48;2022-12-12T01:47:09
