id;cantidad;fecha_pago;metodo_pago;observaciones
1;36922;2022-12-12T05:15:37;EFECTIVO;PNG redundant
2;56215;2022-12-12T05:01:35;EFECTIVO;Fácil política
3;27580;2022-12-12T07:19:07;TRANSFERENCIA;Azul generate
4;85693;2022-12-11T21:28:15;EFECTIVO;moderador Caserio Bacon
5;93590;2022-12-12T08:20:24;EFECTIVO;Hormigon Sabroso
6;78428;2022-12-12T13:53:42;DEPOSITO;Facilitador
7;15290;2022-12-12T18:23:03;TARJETA;Granito Ladrillo
8;1092;2022-12-12T03:26:02;OTRO;capacidad
9;65140;2022-12-12T05:31:07;OTRO;cross-media
10;35728;2022-12-12T18:25:08;OTRO;COM Tailandia Granito
